title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
跑动 ,许开祯,,, 2011-6, 312, 36.80元,,, 9787514601121,7.0,221,https://book.douban.com/subject/6508517/
国画 ,王跃文, 百花洲文艺出版社,, 2010-4, 492, 39.80元,,, 9787807428749,8.1,1058,https://book.douban.com/subject/4746297/
苍黄 ,王跃文, 江苏人民出版社,, 2009-8, 379, 29.80元,,, 9787214048202,8.0,1924,https://book.douban.com/subject/3878514/
红袖 ,浮石, 湖南文艺出版社,, 2008.01, 354, 35.00元,,, 9787540440695,6.7,489,https://book.douban.com/subject/2969095/
沧浪之水 ,阎真, 人民文学出版社,, 2001-10, 523, 26.00元,,, 9787020035250,8.5,15483,https://book.douban.com/subject/1054917/
梅次故事 ,王跃文, 人民文学出版社,, 2001-10, 478, 25.00元,,, 9787020035427,7.6,1584,https://book.douban.com/subject/1011637/
国家干部 ,张平, 作家出版社,, 2004-2, 478, 39.00元,,, 9787506328876,7.6,455,https://book.douban.com/subject/1079029/
省委书记 ,陆天明, 春风文艺出版社,, 2002-9-1, 578, 56.00,,, 9787531324409,6.8,493,https://book.douban.com/subject/1211995/
秘书长二 ,洪放, 新华出版社,, 2008-04, 315, 26.00元,,, 9787501183012,7.0,181,https://book.douban.com/subject/3025637/
大清相国 ,王跃文, 湖南文艺出版社,, 2012-7, 485, 38.00元,王跃文作品·典藏版,https://book.douban.com/series/13288, 9787540456023,7.6,4696,https://book.douban.com/subject/11587576/
国民党高层的派系政治 : 蒋介石最高领袖地位是如何确立的,金以林, 社会科学文献出版社,, 2009-11-1, 465, 48.00元,汉唐阳光人文图书,https://book.douban.com/series/17556, 9787509711514,8.3,595,https://book.douban.com/subject/4139460/
西州月 ,王跃文, 中国社会出版社,, 2004-05, 380, 22.00,,, 9787508700977,7.8,695,https://book.douban.com/subject/1047218/
亡魂鸟 ,王跃文, 中国电影出版社,, 2001-10, 321, 19.80,,, 9787106017835,7.3,275,https://book.douban.com/subject/1005321/
阳谋高手 ,黄晓阳, 光明日报出版社,, 2012-4-1, 392, 38.00元,,, 9787511222619,6.8,627,https://book.douban.com/subject/10571105/
中国制造 ,周梅森, 作家出版社,, 1998-12, 505, 23.00元,,, 9787506316491,7.7,457,https://book.douban.com/subject/1002347/
羊的门 ,李佩甫, 华夏出版社,, 1999-7, 432, 19.80,,, 9787508019031,8.2,1618,https://book.douban.com/subject/1428004/
龙年档案 ,柯云路, 人民文学出版社,, 2002-10-1, 527 页, 22.9,《当代》书丛,https://book.douban.com/series/24869, 9787020039982,7.7,50,https://book.douban.com/subject/1080777/
绝对权力 ,周梅森, 作家出版社,, 2002-4-1, 416, 22.00,,, 9787506323284,7.3,496,https://book.douban.com/subject/1066044/
官运 : 官运,肖仁福, 湖南文艺出版社,, 2006-3-1, 348, 29.0,,, 9787540436667,6.3,75,https://book.douban.com/subject/1804965/
秘书长 ,洪放, 新华出版社,, 2007-7, 349, 26.00元,,, 9787501180042,7.0,369,https://book.douban.com/subject/2151311/
大雪无痕 ,陆天明, 吉林人民出版社,, 2000-8, 462, 22.00元,,, 9787206034473,6.9,444,https://book.douban.com/subject/1011783/
我主沉浮 ,周梅森, 作家出版社,, 2004-05, 424, 27.00,,, 9787506329590,7.7,373,https://book.douban.com/subject/1060703/
浮沉 : 最激励人心的职场生存小说,崔曼莉, 陕西师范大学出版社,, 2008-5, 337, 32.00,浮沉,https://book.douban.com/series/15625, 9787561342411,7.7,12948,https://book.douban.com/subject/3043491/
曾在天涯 ,阎真, 人民文学出版社,, 1996-7, 560, 25.00元,,, 9787020022984,8.0,697,https://book.douban.com/subject/1040361/
血酬定律 : 中国历史中的生存游戏,吴思, 中国工人出版社,, 2003-08, 287, 23.80,,, 9787500830870,8.2,11626,https://book.douban.com/subject/1006560/
天朝的崩溃 : 鸦片战争再研究,茅海建, 生活·读书·新知三联书店,, 2005-7, 600, 32.00元,,, 9787108022943,9.1,11970,https://book.douban.com/subject/1675478/
万历十五年 ,[美国]            黄仁宇, 生活·读书·新知三联书店,, 1997-5, 320, 18.00元,黄仁宇作品系列,https://book.douban.com/series/771, 9787108009821,8.9,158964,https://book.douban.com/subject/1041482/
十面埋伏 ,张平, 作家出版社,, 1999-9, 631, 25.00元,,, 9787506316798,8.3,537,https://book.douban.com/subject/1201867/
国家公诉 ,周梅森, 作家出版社,, 2003-3-1, 422, 26.00,,, 9787506326063,7.5,328,https://book.douban.com/subject/1011208/
抉择 ,张平, 人民文学出版社,, 2005-5, 529, 27.00元,茅盾文学奖获奖作品全集,https://book.douban.com/series/1571, 9787020049356,7.7,915,https://book.douban.com/subject/1260250/
天网 ,张平, 群众出版社,, 1999-3-1, 592, 28.00,张平文集,https://book.douban.com/series/22514, 9787501423750,6.6,68,https://book.douban.com/subject/1084793/
至高利益 ,周梅森, 作家出版社,, 2000-12, 528, 26.00元,,, 9787506317337,7.3,235,https://book.douban.com/subject/1037267/
苍天在上 ,陆天明, 文化艺术出版社,, 2001-09, 418, 22.00,,, 9787503920356,7.4,73,https://book.douban.com/subject/1040590/
高纬度战栗 ,陆天明, 上海文艺出版社,, 2005-9, 452, 25.00元,,, 9787532129102,7.2,201,https://book.douban.com/subject/1432181/
接待处处长 ,高和, 作家出版社,, 2005-10, 423, 20.00元,,, 9787506334129,6.8,214,https://book.douban.com/subject/1449072/
挂职 ,洪放, 长征出版社,, 2008年09月, 227, 26.00元,,, 9787802044067,6.8,91,https://book.douban.com/subject/3149264/
待遇 ,肖仁福, 长江文艺出版社,, 2005-11, 316, 20.00元,,, 9787535431417,6.5,53,https://book.douban.com/subject/1442457/
邓小平时代 ,[美] 傅高义, 生活·读书·新知三联书店,冯克利, 2013-1, 754, 88.00元,,, 9787108041531,9.2,36582,https://book.douban.com/subject/20424526/
曾国藩（上中下） ,唐浩明, 人民文学出版社,, 2002-7, 524；473；562, 66.00元,唐浩明文集,https://book.douban.com/series/6422, 9787020037704,8.6,6950,https://book.douban.com/subject/1037060/
康熙大帝（全四册） ,二月河, 长江文艺出版社,, 2009-9-1, 1478, 110.00元,二月河文集,https://book.douban.com/series/11594, 9787535440556,8.8,1730,https://book.douban.com/subject/4162705/
苦难辉煌 ,金一南, 华艺出版社,, 2009-1, 494, 46.00元,,, 9787801426208,7.8,2968,https://book.douban.com/subject/3432401/
国民党的“联共”与“反共” : 中国国民党史,杨奎松, 社会科学文献出版社,, 2008-1, 752, 88.00元,,, 9787802309630,8.9,1217,https://book.douban.com/subject/2713409/
革命与反革命 : 社会文化视野下的民国政治,王奇生, 社会科学文献出版社,, 2010-01, 457, 49.00元,近世中国,https://book.douban.com/series/2997, 9787509712375,8.6,1157,https://book.douban.com/subject/4248275/
党员、党权与党争 : 1924-1949年中国国民党的组织形态,王奇生, 上海书店出版社,, 2003-10, 377, 42.00元,中国社会科学院近代史研究所专刊,https://book.douban.com/series/2286, 9787806780503,9.0,919,https://book.douban.com/subject/1139065/
“中间地带”的革命 : 国际大背景下看中共成功之道,杨奎松, 山西人民出版社,, 2010-05, 554, 54.00,汉唐阳光人文图书,https://book.douban.com/series/17556, 9787203067962,8.8,1931,https://book.douban.com/subject/4827310/
1945～1949：国共政争与中国命运 ,汪朝光, 社会科学文献出版社,, 2010-02, 450, 49.00元,近世中国,https://book.douban.com/series/2997, 9787509713082,8.0,201,https://book.douban.com/subject/4272356/
流产的革命 : 1927-1937国民党统治下的中国,[美]            易劳逸, 中国青年出版社,, 1992, 393, 5.50,,, 9787500610205,8.1,266,https://book.douban.com/subject/1420120/
剑拔弩张的盟友 : 太平洋战争期间的中美军事合作关系（1941～1945）,[美]齐锡生, 社会科学文献出版社,, 2012-6-1, 808, 89.00元,中国社会科学院近代史研究所民国研究丛刊,https://book.douban.com/series/19822, 9787509731772,8.6,107,https://book.douban.com/subject/10772478/
联合政府与一党训政 : 1944～1946年间国共政争,邓野, 社会科学文献出版社,, 2011-11, 519, 58.00元,汉唐阳光人文图书,https://book.douban.com/series/17556, 9787509727843,9.3,1263,https://book.douban.com/subject/6895949/
毛泽东与莫斯科的恩恩怨怨 ,杨奎松, 江西人民出版社,, 2005-05-01, 665, 72.00,,, 9787210021278,8.8,1087,https://book.douban.com/subject/1280568/
